STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,1995,,2170072.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,1996,,2192594.7,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,1997,,2233252.4,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,1998,,2280052.8,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,1999,,2328608.1,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2000,,2395591.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2001,,2434786.3,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2002,,2429228.8,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2003,,2416358.7,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2004,,2444438.9,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2005,,2466084.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2006,,2561439.6,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2007,,2635442.6,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2008,,2658842.8,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2009,,2511421.8,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2010,,2615260.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2011,,2713540.7,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2012,,2726118.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2013,,2736940.8,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2014,,2796611.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2015,,2843119.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2016,,2906299.4,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2017,,2987615.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2018,,3021545.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2019,,3051087.9,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2020,,2925019.6,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2021,,3039387.8,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2022,,3094378.2,,p,provisional,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2023,,3067468.0,,p,provisional,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,ES,Spain,1995,,720845.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,ES,Spain,1996,,739640.6,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,ES,Spain,1997,,766173.7,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,ES,Spain,1998,,799134.3,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,ES,Spain,1999,,834367.1,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,ES,Spain,2000,,877759.5,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,ES,Spain,2001,,912159.7,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,ES,Spain,2002,,937293.9,,,,,
